Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
3/14/2017,Tuesday,1203.9,1207.3,1196.9,1198.4,0.5,1202.6,2652,1862
3/13/2017,Monday,1204.6,1210.8,1202.2,1203.8,1.7,1203.1,2338,1738
3/10/2017,Friday,1200.7,1206.1,1194.5,1204.5,1.8,1201.4,3777,1739
3/9/2017,Thursday,1207.9,1208.9,1199,1201.1,6.2,1203.2,2932,1746
3/8/2017,Wednesday,1215.6,1218.4,1206.5,1208,6.7,1209.4,2920,1684
3/7/2017,Tuesday,1225.4,1227.3,1214.2,1215.7,9.4,1216.1,2725,1606
3/6/2017,Monday,1234.5,1237.1,1225,1225.4,1,1225.5,2463,1618
3/3/2017,Friday,1234.7,1236.6,1223.1,1235,6.4,1226.5,4305,1770
3/2/2017,Thursday,1250.4,1250.4,1231.3,1234.3,17.1,1232.9,4034,2083
3/1/2017,Wednesday,1248.5,1251.3,1237.3,1250.1,3.9,1250,4993,2168
2/28/2017,Tuesday,1253.9,1259.1,1248.2,1248.9,4.9,1253.9,3190,2285
2/27/2017,Monday,1257.4,1264.8,1251.7,1253.4,0.5,1258.8,3171,2451
2/24/2017,Friday,1256.9,1253,1256.9,1253,6.7,1256.9,0,203
2/23/2017,Thursday,1251.7,1254.7,1251.7,1254.7,18.2,1250.2,6,206
2/22/2017,Wednesday,1241.4,1241.4,1241.4,1241.4,5.5,1232,1,207
2/21/2017,Tuesday,1237.5,1237.5,1237.5,1237.5,0.1,1237.5,0,207
2/17/2017,Friday,1237.6,1237.6,1237.6,1237.6,2.4,1237.6,0,207
2/16/2017,Thursday,1234.5,1234.5,1234.5,1234.5,8.3,1240,1,207
2/15/2017,Wednesday,1227.6,1229,1227.2,1229,7.8,1231.7,96,270
2/14/2017,Tuesday,1223.9,1223.9,1223.9,1223.9,0.5,1223.9,0,270
2/13/2017,Monday,1225.1,1225.7,1224.8,1224.8,10,1224.4,4,272
2/10/2017,Friday,1233.3,1237.3,1233.2,1236.5,0.7,1234.4,13,275
2/9/2017,Thursday,1235.4,1237.8,1234.8,1237.8,2.5,1235.1,17,285
2/8/2017,Wednesday,1228.5,1243.6,1228.4,1235.8,3.4,1237.6,8,286
2/7/2017,Tuesday,1233.2,1236.2,1229.9,1236.1,4.2,1234.2,14,318
2/6/2017,Monday,1228.4,1235.6,1227.7,1235.5,11.5,1230,11,321
2/3/2017,Friday,1215.1,1220.9,1215.1,1217,1.8,1218.5,7,326
2/2/2017,Thursday,1211.8,1226.7,1210.4,1214.2,11.1,1216.7,17,334
2/1/2017,Wednesday,1212.4,1212.4,1199.4,1209,3,1205.6,97,424
1/31/2017,Tuesday,1191.9,1215.3,1191.9,1215.1,15.4,1208.6,138,452
1/30/2017,Monday,1190,1198.5,1186,1193.2,4.8,1193.2,640,1129
1/27/2017,Friday,1187.2,1190.9,1179.9,1190.4,1.4,1188.4,1926,1762
1/26/2017,Thursday,1199.7,1202.3,1184,1188.1,8,1189.8,3247,2163
